Accession.ID	country	Pango.lineage
EPI_ISL_11782931	Denmark	BA.2.9
EPI_ISL_9784554	Denmark	BA.2.9
EPI_ISL_10637245	Denmark	BA.2.9
EPI_ISL_11115939	Denmark	BA.2.9
EPI_ISL_11515289	Denmark	BA.2.9
EPI_ISL_9119602	Denmark	BA.2.9
EPI_ISL_12022047	Germany	BA.2.9
EPI_ISL_11818064	Germany	BA.2
EPI_ISL_9410234	Denmark	BA.2.9
EPI_ISL_8658039	Denmark	BA.2.9
EPI_ISL_11469973	Germany	BA.2
EPI_ISL_8770172	Sweden	BA.2.9
EPI_ISL_10518800	United Kingdom	BA.2.9
EPI_ISL_10059552	United Kingdom	BA.2.9
EPI_ISL_11594579	United Kingdom	BA.2.9
EPI_ISL_10888809	United Kingdom	BA.2.9
EPI_ISL_11123157	United Kingdom	BA.2.9
EPI_ISL_12136747	Sweden	BA.2.9
EPI_ISL_9906225	Spain	BA.2.9
EPI_ISL_11800802	Spain	BA.2.9
EPI_ISL_12195665	Germany	BA.2.9
EPI_ISL_11730578	United Kingdom	BA.2.9
EPI_ISL_12186946	Germany	BA.2.9
EPI_ISL_11801446	United Kingdom	BA.2.9
EPI_ISL_9653490	Denmark	BA.2.9
EPI_ISL_12165290	Denmark	BA.2.9
EPI_ISL_11517322	Denmark	BA.2.9
EPI_ISL_12082861	Slovakia	BA.2.9
EPI_ISL_11227785	United Kingdom	BA.2.9
EPI_ISL_11453745	Germany	BA.2.9
EPI_ISL_10068963	Slovakia	BA.2.9
EPI_ISL_9829672	Slovakia	BA.2.9
EPI_ISL_11590080	Germany	BA.2.9
EPI_ISL_10068964	Slovakia	BA.2.9
EPI_ISL_12187602	Germany	BA.2.9
EPI_ISL_9844040	Thailand	BA.2.9
EPI_ISL_10929827	Sweden	BA.2.9
EPI_ISL_11658542	Germany	BA.2.9
EPI_ISL_10905181	Germany	BA.2.9
EPI_ISL_12160122	Denmark	BA.2.9
EPI_ISL_12014018	Germany	BA.2.9
EPI_ISL_12187726	Germany	BA.2.9
EPI_ISL_11893006	France	BA.2.9
EPI_ISL_10933899	Belgium	BA.2.9
EPI_ISL_10916236	Germany	BA.2.9
EPI_ISL_12018455	Germany	BA.2.9
EPI_ISL_11658799	Germany	BA.2.9
EPI_ISL_11451108	Germany	BA.2.9
EPI_ISL_11619128	Germany	BA.2.9
EPI_ISL_10915926	Germany	BA.2.9
EPI_ISL_11858156	Sweden	BA.2.9
EPI_ISL_11658477	Germany	BA.2.9
EPI_ISL_11817369	Germany	BA.2.9
EPI_ISL_10731577	Denmark	BA.2.9
EPI_ISL_9452660	Denmark	BA.2.9
EPI_ISL_9066320	Denmark	BA.2.9
EPI_ISL_11658511	Germany	BA.2.9
EPI_ISL_12193692	Germany	BA.2.9
EPI_ISL_11817465	Germany	BA.2.9
EPI_ISL_12193774	Germany	BA.2.9
EPI_ISL_12189807	Germany	BA.2.9
EPI_ISL_12027326	Germany	BA.2.9
EPI_ISL_11654874	Germany	BA.2.9
EPI_ISL_12189622	Germany	BA.2.9
EPI_ISL_10893668	Denmark	BA.2.9
EPI_ISL_11654873	Germany	BA.2.9
EPI_ISL_11505267	Italy	BA.2.9
EPI_ISL_9365186	Denmark	BA.2.9
EPI_ISL_11818625	Germany	BA.2.9
EPI_ISL_12189753	Germany	BA.2.9
EPI_ISL_12104821	United Kingdom	BA.2.9
EPI_ISL_11454239	Germany	BA.2.9
EPI_ISL_11478399	Germany	BA.2.9
EPI_ISL_10918845	Germany	BA.2.9
EPI_ISL_11724492	Denmark	BA.2.9
EPI_ISL_12013645	Germany	BA.2.9
EPI_ISL_10915980	Germany	BA.2.9
EPI_ISL_12013901	Germany	BA.2.9
EPI_ISL_12014231	Germany	BA.2.9
EPI_ISL_12018288	Germany	BA.2.9
EPI_ISL_11451109	Germany	BA.2.9
EPI_ISL_10443422	Turkey	BA.2.9
EPI_ISL_12193136	Germany	BA.2.9
EPI_ISL_12104398	United Kingdom	BA.2.9
EPI_ISL_12189796	Germany	BA.2.9
EPI_ISL_12018363	Germany	BA.2.9
EPI_ISL_11658434	Germany	BA.2.9
EPI_ISL_11454344	Germany	BA.2.9
EPI_ISL_10093382	Denmark	BA.2.9
EPI_ISL_12044667	United Kingdom	BA.2.9
EPI_ISL_11657819	Germany	BA.2.9
EPI_ISL_12189765	Germany	BA.2.9
EPI_ISL_12200019	Germany	BA.2.9
EPI_ISL_12191278	Germany	BA.2.9
EPI_ISL_12189729	Germany	BA.2.9
EPI_ISL_8582440	Denmark	BA.2.9
EPI_ISL_10013010	Denmark	BA.2.9
EPI_ISL_12078559	United Kingdom	BA.2.9
EPI_ISL_10217570	Denmark	BA.2.9
EPI_ISL_10216706	Denmark	BA.2.9
EPI_ISL_10808202	Denmark	BA.2.9
EPI_ISL_10399203	Denmark	BA.2.9
EPI_ISL_12014845	Germany	BA.2.9
EPI_ISL_11635442	Germany	BA.2.9
EPI_ISL_9362399	Denmark	BA.2.9
EPI_ISL_9904432	Denmark	BA.2.9
EPI_ISL_9364587	Denmark	BA.2.9
EPI_ISL_9654613	Denmark	BA.2.9
EPI_ISL_9902954	Denmark	BA.2.9
EPI_ISL_9122063	Denmark	BA.2.9
EPI_ISL_11990737	Denmark	BA.2.9
EPI_ISL_8657823	Denmark	BA.2.9
EPI_ISL_9455246	Denmark	BA.2.9
EPI_ISL_10209361	Denmark	BA.2.9
EPI_ISL_9128450	Denmark	BA.2.9
EPI_ISL_9365739	Denmark	BA.2.9
EPI_ISL_9124215	Denmark	BA.2.9
EPI_ISL_9006340	Denmark	BA.2.9
EPI_ISL_8806134	Denmark	BA.2.9
EPI_ISL_9410611	Denmark	BA.2.9
EPI_ISL_9007681	Denmark	BA.2.9
EPI_ISL_10982775	Denmark	BA.2.9
EPI_ISL_8833996	Denmark	BA.2.9
EPI_ISL_8657110	Denmark	BA.2.9
EPI_ISL_9855744	Denmark	BA.2.9
EPI_ISL_11875957	Denmark	BA.2.9
EPI_ISL_11316954	Denmark	BA.2.9
EPI_ISL_10060216	Denmark	BA.2.9
EPI_ISL_10096932	Denmark	BA.2.9
EPI_ISL_12021107	Denmark	BA.2.9
EPI_ISL_10209834	Denmark	BA.2.9
EPI_ISL_8345347	Denmark	BA.2.9
EPI_ISL_11518476	Denmark	BA.2.9
EPI_ISL_11028203	Denmark	BA.2.9
EPI_ISL_10634222	Denmark	BA.2.9
EPI_ISL_9898592	Denmark	BA.2.9
EPI_ISL_10011880	Denmark	BA.2.9
EPI_ISL_9237227	Denmark	BA.2.9
EPI_ISL_9452960	Denmark	BA.2.9
EPI_ISL_9502953	Denmark	BA.2.9
EPI_ISL_11552409	Denmark	BA.2.9
EPI_ISL_11553359	Denmark	BA.2.9
EPI_ISL_9652038	Denmark	BA.2.9
EPI_ISL_10732952	Denmark	BA.2.9
EPI_ISL_10204357	Denmark	BA.2.9
EPI_ISL_11345303	Denmark	BA.2.9
EPI_ISL_9236302	Denmark	BA.2.9
EPI_ISL_11959368	United Kingdom	BA.2.9
EPI_ISL_10892787	Denmark	BA.2.9
EPI_ISL_10095780	Denmark	BA.2.9
EPI_ISL_10204467	Denmark	BA.2.9
EPI_ISL_11315647	Denmark	BA.2.9
EPI_ISL_10259283	Denmark	BA.2.9
EPI_ISL_9367612	Denmark	BA.2.9
EPI_ISL_11806938	Denmark	BA.2.9
EPI_ISL_10584532	Denmark	BA.2.9
EPI_ISL_10891194	Denmark	BA.2.9
EPI_ISL_10891775	Denmark	BA.2.9
EPI_ISL_11785457	Denmark	BA.2.9
EPI_ISL_11988703	Denmark	BA.2.9
EPI_ISL_11518861	Denmark	BA.2.9
EPI_ISL_10209971	Denmark	BA.2.9
EPI_ISL_10893691	Denmark	BA.2.9
EPI_ISL_10065052	Denmark	BA.2.9
EPI_ISL_11158504	Denmark	BA.2.9
EPI_ISL_10636556	Denmark	BA.2.9
EPI_ISL_10318867	Denmark	BA.2.9
EPI_ISL_10811338	Denmark	BA.2.9
EPI_ISL_11026429	Denmark	BA.2.9
EPI_ISL_11275255	Denmark	BA.2.9
EPI_ISL_11789075	Denmark	BA.2.9
EPI_ISL_11379226	Denmark	BA.2.9
EPI_ISL_11914459	Denmark	BA.2.9
EPI_ISL_11158467	Denmark	BA.2.9
EPI_ISL_12155022	Italy	BA.2.9
EPI_ISL_12155021	Italy	BA.2.9
EPI_ISL_11725415	Italy	BA.2.9
EPI_ISL_10753590	Germany	BA.2.9
EPI_ISL_12139870	Canary Islands	BA.2.9
EPI_ISL_12139802	Canary Islands	BA.2.9
EPI_ISL_12174848	USA	BA.2.9
EPI_ISL_12185035	Canary Islands	BA.2.9
EPI_ISL_12139798	Canary Islands	BA.2.9
EPI_ISL_12139815	Canary Islands	BA.2.9
EPI_ISL_12185013	Canary Islands	BA.2.9
EPI_ISL_12184292	USA	BA.2.9
EPI_ISL_11752355	United Kingdom	BA.2.9
EPI_ISL_12157987	USA	BA.2.9
EPI_ISL_11957732	United Kingdom	BA.2.9
EPI_ISL_10939636	Norway	BA.2.9
EPI_ISL_12139874	Canary Islands	BA.2.9
EPI_ISL_12144221	Canary Islands	BA.2.9
EPI_ISL_12145419	Canary Islands	BA.2.9
EPI_ISL_12144252	Canary Islands	BA.2.9
EPI_ISL_10291407	Germany	BA.2.9
EPI_ISL_11914470	Denmark	BA.2.9
EPI_ISL_11514874	Denmark	BA.2.9
EPI_ISL_10732443	Denmark	BA.2.9
EPI_ISL_10095965	Denmark	BA.2.9
EPI_ISL_10252887	Denmark	BA.2.9
EPI_ISL_10809837	Denmark	BA.2.9
EPI_ISL_9652442	Denmark	BA.2.9
EPI_ISL_11785865	Denmark	BA.2.9
EPI_ISL_8702044	Denmark	BA.2.9
EPI_ISL_11873352	Denmark	BA.2.9
EPI_ISL_11119838	Denmark	BA.2.9
EPI_ISL_11322186	United Kingdom	BA.2.9
EPI_ISL_9569258	Denmark	BA.2.9
EPI_ISL_10917648	Germany	BA.2.9
EPI_ISL_8706557	Denmark	BA.2.9
EPI_ISL_11667843	Germany	BA.2
EPI_ISL_11469584	Germany	BA.2
EPI_ISL_11610952	Germany	BA.2
EPI_ISL_11475170	Germany	BA.2
EPI_ISL_11648427	Germany	BA.2
EPI_ISL_11611608	Germany	BA.2
EPI_ISL_11907836	Poland	BA.2.9
EPI_ISL_9961989	Sweden	BA.2.9
EPI_ISL_12143714	Sweden	BA.2.9
EPI_ISL_9962055	Sweden	BA.2.9
EPI_ISL_11014485	Sweden	BA.2.9
EPI_ISL_11459563	Germany	BA.2
EPI_ISL_11213704	Sweden	BA.2.9
EPI_ISL_11648630	Germany	BA.2.9
EPI_ISL_11650839	Germany	BA.2
EPI_ISL_9597072	Sweden	BA.2.9
EPI_ISL_10782821	Sweden	BA.2.9
EPI_ISL_11668239	Germany	BA.2
EPI_ISL_8770313	Sweden	BA.2.9
EPI_ISL_12026405	Germany	BA.2
EPI_ISL_11650553	Germany	BA.2.9
EPI_ISL_12194127	Germany	BA.2.9
EPI_ISL_12199340	Germany	BA.2.9
EPI_ISL_12021827	Germany	BA.2.9
EPI_ISL_11475160	Germany	BA.2
EPI_ISL_11459500	Germany	BA.2
EPI_ISL_11461590	Germany	BA.2.9
EPI_ISL_11667762	Germany	BA.2
EPI_ISL_11611041	Germany	BA.2.9
EPI_ISL_12193863	Germany	BA.2.9
EPI_ISL_11475142	Germany	BA.2
EPI_ISL_12021448	Germany	BA.2
EPI_ISL_11459559	Germany	BA.2
EPI_ISL_9523933	Sweden	BA.2.9
EPI_ISL_10732767	Sweden	BA.2.9
EPI_ISL_8538955	Sweden	BA.2.9
EPI_ISL_11617527	Germany	BA.2
EPI_ISL_12021721	Germany	BA.2
EPI_ISL_11787306	United Kingdom	BA.2
EPI_ISL_10628526	United Kingdom	BA.2.9
EPI_ISL_10847267	Poland	BA.2.9
EPI_ISL_9411062	Denmark	BA.2.9
EPI_ISL_11672785	Germany	BA.2.9
EPI_ISL_9455851	Germany	BA.2.9
EPI_ISL_11618636	Germany	BA.2.9
EPI_ISL_11486573	Germany	BA.2.9
EPI_ISL_12190640	Germany	BA.2.9
EPI_ISL_11116441	Denmark	BA.2.9
EPI_ISL_11381339	Denmark	BA.2.9
EPI_ISL_11653131	Denmark	BA.2.9
EPI_ISL_11158151	Denmark	BA.2.9
EPI_ISL_11025149	Denmark	BA.2.9
EPI_ISL_10810802	Denmark	BA.2.9
EPI_ISL_10679198	Denmark	BA.2.9
EPI_ISL_10525122	United Kingdom	BA.2.9
EPI_ISL_10504017	United Kingdom	BA.2.9
EPI_ISL_11787022	Denmark	BA.2.9
EPI_ISL_11414146	Czech Republic	BA.2.9
EPI_ISL_11460320	Germany	BA.2
EPI_ISL_11433275	United Kingdom	BA.2.9
EPI_ISL_10960211	United Kingdom	BA.2
EPI_ISL_10733442	Denmark	BA.2.9
EPI_ISL_9365338	Denmark	BA.2.9
EPI_ISL_11273444	Denmark	BA.2.9
EPI_ISL_11064411	Denmark	BA.2.9
EPI_ISL_11284568	Denmark	BA.2.9
EPI_ISL_11379739	Denmark	BA.2.9
EPI_ISL_11117237	Denmark	BA.2.9
EPI_ISL_11442263	Denmark	BA.2.9
EPI_ISL_10012561	Denmark	BA.2.9
EPI_ISL_10252999	Denmark	BA.2.9
EPI_ISL_11394831	United Kingdom	BA.2.9
